"CODMUNRES","n_nasc_vivos","ANONASC","Cardiopatias","Membros","Neural","Fendas","Microcefalia","nome","latitude","longitude"
"430450",574,2014,0,0,0,0,0,"Canguçu",-31.396,-52.6783
"430460",5328,2014,4,9,4,4,0,"Canoas",-29.9128,-51.1857
"430461",12,2014,0,0,0,0,0,"Canudos do Vale",-29.3271,-52.2374
"430462",23,2014,0,0,0,0,0,"Capão Bonito do Sul",-28.1254,-51.3961
"430463",795,2014,1,1,0,1,0,"Capão da Canoa",-29.7642,-50.0282
"430465",25,2014,0,0,0,0,0,"Capão do Cipó",-28.9312,-54.5558
"430466",380,2014,0,0,0,0,0,"Capão do Leão",-31.7565,-52.4889
"430467",48,2014,0,0,0,0,0,"Capivari do Sul",-30.1383,-50.5152
"430468",130,2014,0,0,0,0,0,"Capela de Santana",-29.6961,-51.328
"430469",32,2014,0,0,0,0,0,"Capitão",-29.2674,-51.9853
"430470",871,2014,0,1,1,0,0,"Carazinho",-28.2958,-52.7933
"430471",72,2014,0,1,0,0,0,"Caraá",-29.7869,-50.4316
"430480",319,2014,0,0,0,0,0,"Carlos Barbosa",-29.2969,-51.5028
"430485",8,2014,0,1,0,0,0,"Carlos Gomes",-27.7167,-51.9121
"430490",93,2014,0,0,0,0,0,"Casca",-28.5605,-51.9815
"430495",36,2014,0,0,0,0,0,"Caseiros",-28.2582,-51.6861
"430500",91,2014,0,0,0,0,0,"Catuípe",-28.2554,-54.0132
"430510",6421,2014,5,9,2,7,0,"Caxias do Sul",-29.1629,-51.1792
"430511",33,2014,0,0,0,0,0,"Centenário",-27.7615,-51.9984
"430512",61,2014,0,0,0,0,0,"Cerrito",-31.8419,-52.8004
"430513",39,2014,0,0,0,0,0,"Cerro Branco",-29.657,-52.9406
"430515",30,2014,0,0,0,0,0,"Cerro Grande",-27.6106,-53.1672
"430517",119,2014,0,0,1,0,0,"Cerro Grande do Sul",-30.5905,-51.7418
"430520",150,2014,0,0,0,0,0,"Cerro Largo",-28.1463,-54.7428
"430530",69,2014,0,1,0,0,0,"Chapada",-28.0559,-53.0665
"430535",432,2014,0,0,0,0,0,"Charqueadas",-29.9625,-51.6289
"430537",33,2014,0,0,0,0,0,"Charrua",-27.9493,-52.015
"430540",46,2014,0,0,0,0,0,"Chiapetta",-27.923,-53.9419
"430543",58,2014,0,0,0,0,0,"Chuí",-33.6866,-53.4594
"430544",67,2014,0,0,0,0,0,"Chuvisca",-30.7504,-51.9737
"430545",174,2014,0,0,1,1,0,"Cidreira",-30.1604,-50.2337
"430550",47,2014,0,0,0,0,0,"Ciríaco",-28.3419,-51.8741
"430558",22,2014,0,0,0,0,0,"Colinas",-29.3948,-51.8556
"430560",24,2014,0,0,0,0,0,"Colorado",-28.5258,-52.9928
"430570",37,2014,0,1,0,1,0,"Condor",-28.2075,-53.4905
"430580",115,2014,0,0,0,0,0,"Constantina",-27.732,-52.9938
"430583",9,2014,0,0,0,0,0,"Coqueiro Baixo",-29.1802,-52.0942
"430585",15,2014,0,0,0,0,0,"Coqueiros do Sul",-28.1194,-52.7842
"430587",26,2014,0,0,0,0,0,"Coronel Barros",-28.3921,-54.0686
"430590",94,2014,0,0,0,0,0,"Coronel Bicaco",-27.7197,-53.7022
